300001,100001,200001,2018-02-13
300003,100003,200001,2018-02-13
300004,100005,200001,2018-02-13
300005,100006,200001,2018-02-13
300006,100001,200002,2018-02-13
300008,100005,200002,2018-01-05
300009,100004,200003,2018-02-13
300010,100005,200003,2018-02-10
300011,100005,200004,2018-02-13
300012,100002,200006,2018-01-12
300015,100003,200006,2018-03-10
300016,100003,200004,2018-03-10
300017,100001,200007,2018-03-11
300018,100001,200001,2018-03-12
300019,100001,200001,2018-03-12
300020,100004,200007,2018-03-12
